architecture,category,task_id,passed,passed_at_1,passed_at,n_attempts,n_reflections,n_turns,involved_classes,n_llm_calls,n_tool_calls,input_tokens,output_tokens,total_tokens,peak_context,latency_s,max_steps_hits,error_type,error_message
baseline,base,multi_turn_base_165,False,,,,,5,TicketAPI|TravelAPI,10,5,45248,652,45900,4966,7.88,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
baseline,base,multi_turn_base_169,True,,,,,2,MessageAPI|TravelAPI,7,5,31287,890,32177,5020,10.26,0,,
baseline,base,multi_turn_base_17,True,,,,,3,MessageAPI|GorillaFileSystem,12,9,51082,711,51793,4754,9.08,0,,
baseline,base,multi_turn_base_170,False,,,,,6,TwitterAPI|TravelAPI,11,5,57557,898,58455,5877,10.85,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
baseline,base,multi_turn_base_180,False,,,,,6,TicketAPI|TravelAPI,20,14,110545,2426,112971,7144,28.1,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
baseline,base,multi_turn_base_186,True,,,,,6,TwitterAPI|TravelAPI,14,8,76610,1181,77791,6288,14.05,0,,
baseline,base,multi_turn_base_190,False,,,,,5,TicketAPI|TravelAPI,12,7,60162,1495,61657,6087,17.0,0,multi_turn:instance_state_mismatch,Model instance for TicketAPI does not match the state with ground truth instance.
baseline,base,multi_turn_base_194,True,,,,,6,TravelAPI,13,7,50982,1371,52353,4785,15.96,0,,
baseline,base,multi_turn_base_197,False,,,,,3,MessageAPI|TravelAPI,15,12,75775,1938,77713,6243,22.23,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
baseline,base,multi_turn_base_2,True,,,,,5,TicketAPI|GorillaFileSystem,21,16,101590,1160,102750,5714,14.89,0,,
baseline,base,multi_turn_base_20,True,,,,,2,TwitterAPI|GorillaFileSystem,8,6,38187,477,38664,5080,6.1,0,,
baseline,base,multi_turn_base_22,True,,,,,4,TwitterAPI|GorillaFileSystem,11,7,54466,658,55124,5491,8.65,0,,
baseline,base,multi_turn_base_3,True,,,,,2,GorillaFileSystem,8,6,26120,514,26634,3566,6.16,0,,
baseline,base,multi_turn_base_32,False,,,,,2,GorillaFileSystem|MathAPI,6,4,29982,331,30313,5198,4.46,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 1.
baseline,base,multi_turn_base_33,True,,,,,5,MessageAPI|GorillaFileSystem,13,8,55226,566,55792,4718,7.52,0,,
baseline,base,multi_turn_base_34,False,,,,,2,GorillaFileSystem|MathAPI,6,4,30394,404,30798,5289,4.87,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 1.
baseline,base,multi_turn_base_37,False,,,,,3,GorillaFileSystem,8,5,26388,953,27341,4077,11.01,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 2.
baseline,base,multi_turn_base_4,False,,,,,3,TwitterAPI|GorillaFileSystem,9,6,43692,653,44345,5317,8.12,0,multi_turn:instance_state_mismatch,Model instance for TwitterAPI does not match the state with ground truth instance.
baseline,base,multi_turn_base_49,False,,,,,4,GorillaFileSystem|MathAPI,10,6,52884,736,53620,5800,8.98,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 3.
baseline,base,multi_turn_base_55,True,,,,,5,TicketAPI|VehicleControlAPI,16,11,76051,1076,77127,5649,13.22,0,,
baseline,base,multi_turn_base_56,True,,,,,3,VehicleControlAPI,13,10,43530,669,44199,3814,8.77,0,,
baseline,base,multi_turn_base_57,True,,,,,2,VehicleControlAPI|MathAPI,6,4,29874,425,30299,5245,5.3,0,,
baseline,base,multi_turn_base_66,False,,,,,4,VehicleControlAPI,14,10,50350,837,51187,4229,10.39,0,multi_turn:instance_state_mismatch,Model instance for VehicleControlAPI does not match the state with ground truth instance.
baseline,base,multi_turn_base_68,True,,,,,5,TwitterAPI|VehicleControlAPI,18,13,93911,952,94863,6058,12.24,0,,
baseline,base,multi_turn_base_77,True,,,,,3,TwitterAPI|VehicleControlAPI,9,6,43285,546,43831,5193,6.72,0,,
baseline,base,multi_turn_base_82,True,,,,,3,VehicleControlAPI,14,11,50275,829,51104,4123,10.28,0,,
baseline,base,multi_turn_base_90,True,,,,,4,TwitterAPI|VehicleControlAPI,17,13,89413,1135,90548,6091,14.42,0,,
baseline,base,multi_turn_base_91,True,,,,,2,MessageAPI|VehicleControlAPI,7,5,28058,340,28398,4261,4.4,0,,
baseline,base,multi_turn_base_92,False,,,,,5,VehicleControlAPI,16,11,56949,952,57901,4240,11.73,0,multi_turn:instance_state_mismatch,Model instance for VehicleControlAPI does not match the state with ground truth instance.
baseline,base,multi_turn_base_94,False,,,,,3,VehicleControlAPI,18,15,66942,1059,68001,4453,14.12,0,multi_turn:instance_state_mismatch,Model instance for VehicleControlAPI does not match the state with ground truth instance.
baseline,base,multi_turn_base_97,True,,,,,6,MessageAPI|VehicleControlAPI,20,14,92040,1109,93149,5502,14.81,0,,
baseline,base,multi_turn_base_98,True,,,,,3,VehicleControlAPI|MathAPI,12,9,62801,633,63434,5651,8.14,0,,
baseline,long_context,multi_turn_long_context_1,True,,,,,4,GorillaFileSystem,13,9,42961,577,43538,3732,9.49,0,,
baseline,long_context,multi_turn_long_context_103,False,,,,,5,MessageAPI|TradingBot,11,6,249891,4371,254262,45188,49.22,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 4
baseline,long_context,multi_turn_long_context_111,True,,,,,4,MessageAPI|TradingBot,11,7,53650,1018,54668,6336,13.48,0,,
baseline,long_context,multi_turn_long_context_115,True,,,,,4,TradingBot,11,7,224868,1188,226056,36795,16.58,0,,
baseline,long_context,multi_turn_long_context_117,True,,,,,6,TradingBot,14,8,464292,6721,471013,84708,76.4,0,,
baseline,long_context,multi_turn_long_context_119,True,,,,,4,TradingBot|TicketAPI,9,5,289296,3351,292647,42827,38.69,0,,
baseline,long_context,multi_turn_long_context_120,True,,,,,4,TradingBot,10,6,223805,745,224550,36662,11.45,0,,
baseline,long_context,multi_turn_long_context_122,True,,,,,5,TradingBot,11,6,43029,1138,44167,5556,14.01,0,,
baseline,long_context,multi_turn_long_context_127,True,,,,,4,TradingBot,9,5,186559,1282,187841,40576,16.58,0,,
baseline,long_context,multi_turn_long_context_139,True,,,,,2,TwitterAPI|TradingBot,6,4,29851,302,30153,8437,4.81,0,,
baseline,long_context,multi_turn_long_context_140,False,,,,,4,TradingBot|TicketAPI,11,7,52046,692,52738,6314,10.14,0,multi_turn:instance_state_mismatch,Model instance for TicketAPI does not match the state with ground truth instance.
baseline,long_context,multi_turn_long_context_144,False,,,,,3,TradingBot|MathAPI,6,3,90768,8538,99306,36537,91.75,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
baseline,long_context,multi_turn_long_context_145,True,,,,,5,MessageAPI|TradingBot,13,8,412173,1337,413510,38292,19.92,0,,
baseline,long_context,multi_turn_long_context_152,False,,,,,3,TicketAPI|TravelAPI,7,4,48286,913,49199,8003,12.27,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,long_context,multi_turn_long_context_153,True,,,,,5,TravelAPI,11,6,53988,1230,55218,7272,15.55,0,,
baseline,long_context,multi_turn_long_context_154,False,,,,,5,MessageAPI|TravelAPI,11,6,62560,1148,63708,7914,14.94,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 1.
baseline,long_context,multi_turn_long_context_161,True,,,,,3,MathAPI|TravelAPI,6,3,31318,478,31796,5534,7.06,0,,
baseline,long_context,multi_turn_long_context_164,False,,,,,4,TravelAPI,12,8,49458,1245,50703,6244,16.17,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 0.
baseline,long_context,multi_turn_long_context_165,True,,,,,5,TicketAPI|TravelAPI,13,8,76271,1089,77360,8092,14.98,0,,
baseline,long_context,multi_turn_long_context_169,True,,,,,2,MessageAPI|TravelAPI,7,5,42835,865,43700,7616,10.81,0,,
baseline,long_context,multi_turn_long_context_17,True,,,,,3,MessageAPI|GorillaFileSystem,12,9,57534,1308,58842,5945,16.88,0,,
baseline,long_context,multi_turn_long_context_170,False,,,,,6,TwitterAPI|TravelAPI,11,5,67940,981,68921,7179,13.02,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
baseline,long_context,multi_turn_long_context_180,False,,,,,6,TicketAPI|TravelAPI,11,5,60927,1001,61928,6599,13.59,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
baseline,long_context,multi_turn_long_context_186,True,,,,,6,TwitterAPI|TravelAPI,14,8,108941,1536,110477,9359,20.37,0,,
baseline,long_context,multi_turn_long_context_190,True,,,,,5,TicketAPI|TravelAPI,12,7,86341,1346,87687,8716,17.5,0,,
baseline,long_context,multi_turn_long_context_194,True,,,,,6,TravelAPI,15,9,93346,1763,95109,7864,21.9,0,,
baseline,long_context,multi_turn_long_context_197,False,,,,,3,MessageAPI|TravelAPI,11,8,53333,1532,54865,5791,18.12,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
baseline,long_context,multi_turn_long_context_2,True,,,,,5,TicketAPI|GorillaFileSystem,24,19,135737,1696,137433,7687,24.63,0,,
baseline,long_context,multi_turn_long_context_20,False,,,,,2,TwitterAPI|GorillaFileSystem,8,6,43479,976,44455,6938,12.93,0,multi_turn:instance_state_mismatch,Model instance for GorillaFileSystem does not match the state with ground truth instance.
baseline,long_context,multi_turn_long_context_22,True,,,,,4,TwitterAPI|GorillaFileSystem,15,11,95238,1446,96684,8171,20.05,0,,
baseline,long_context,multi_turn_long_context_3,False,,,,,2,GorillaFileSystem,3,1,9085,218,9303,3146,2.96,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,long_context,multi_turn_long_context_32,False,,,,,2,GorillaFileSystem|MathAPI,6,4,33532,500,34032,5986,7.16,0,multi_turn:instance_state_mismatch,Model instance for GorillaFileSystem does not match the state with ground truth instance.
baseline,long_context,multi_turn_long_context_33,True,,,,,5,MessageAPI|GorillaFileSystem,11,6,62228,583,62811,6609,9.61,0,,
baseline,long_context,multi_turn_long_context_34,False,,,,,2,GorillaFileSystem|MathAPI,6,4,30406,408,30814,5293,5.93,0,multi_turn:instance_state_mismatch,Model instance for GorillaFileSystem does not match the state with ground truth instance.
baseline,long_context,multi_turn_long_context_37,False,,,,,3,GorillaFileSystem,9,6,39827,730,40557,5916,10.13,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 0.
baseline,long_context,multi_turn_long_context_4,False,,,,,3,TwitterAPI|GorillaFileSystem,10,7,60142,734,60876,6864,10.44,0,multi_turn:instance_state_mismatch,Model instance for TwitterAPI does not match the state with ground truth instance.
baseline,long_context,multi_turn_long_context_49,False,,,,,4,GorillaFileSystem|MathAPI,12,8,83124,841,83965,8149,11.99,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 3.
baseline,long_context,multi_turn_long_context_55,True,,,,,5,TicketAPI|VehicleControlAPI,16,11,117049,1037,118086,9356,15.43,0,,
baseline,long_context,multi_turn_long_context_56,True,,,,,3,VehicleControlAPI,13,10,98004,757,98761,9660,11.65,0,,
baseline,long_context,multi_turn_long_context_57,True,,,,,2,VehicleControlAPI|MathAPI,6,4,41515,421,41936,9125,6.04,0,,
baseline,long_context,multi_turn_long_context_66,False,,,,,4,VehicleControlAPI,12,8,52813,630,53443,5857,10.33,0,multi_turn:instance_state_mismatch,Model instance for VehicleControlAPI does not match the state with ground truth instance.
baseline,long_context,multi_turn_long_context_68,True,,,,,5,TwitterAPI|VehicleControlAPI,18,13,164925,969,165894,11687,15.24,0,,
baseline,long_context,multi_turn_long_context_77,True,,,,,3,TwitterAPI|VehicleControlAPI,9,6,66662,560,67222,9092,8.59,0,,
baseline,long_context,multi_turn_long_context_82,True,,,,,3,VehicleControlAPI,14,11,92874,1009,93883,8047,14.63,0,,
baseline,long_context,multi_turn_long_context_90,True,,,,,4,TwitterAPI|VehicleControlAPI,17,13,122570,3187,125757,11973,37.98,0,,
baseline,long_context,multi_turn_long_context_91,True,,,,,2,MessageAPI|VehicleControlAPI,7,5,33392,324,33716,5329,5.52,0,,
baseline,long_context,multi_turn_long_context_92,False,,,,,5,VehicleControlAPI,16,11,173231,3175,176406,14055,38.49,0,multi_turn:instance_state_mismatch,Model instance for VehicleControlAPI does not match the state with ground truth instance.
baseline,long_context,multi_turn_long_context_94,True,,,,,3,VehicleControlAPI,14,11,108137,899,109036,11696,13.81,0,,
baseline,long_context,multi_turn_long_context_97,False,,,,,6,MessageAPI|VehicleControlAPI,21,15,235296,3556,238852,13699,44.42,0,multi_turn:instance_state_mismatch,Model instance for MessageAPI does not match the state with ground truth instance.
baseline,long_context,multi_turn_long_context_98,True,,,,,3,VehicleControlAPI|MathAPI,12,9,102339,658,102997,13289,11.66,0,,
baseline,miss_func,multi_turn_miss_func_1,False,,,,,5,GorillaFileSystem,14,9,45835,741,46576,3902,1.94,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
baseline,miss_func,multi_turn_miss_func_103,False,,,,,6,MessageAPI|TradingBot,13,7,51451,1082,52533,4826,14.17,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 4
baseline,miss_func,multi_turn_miss_func_111,False,,,,,5,MessageAPI|TradingBot,12,7,47090,784,47874,4600,10.69,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,miss_func,multi_turn_miss_func_115,False,,,,,5,TradingBot,14,9,42490,821,43311,3726,11.67,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 2.
baseline,miss_func,multi_turn_miss_func_117,False,,,,,7,TradingBot,16,9,50719,1066,51785,4049,14.05,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,miss_func,multi_turn_miss_func_119,True,,,,,5,TradingBot|TicketAPI,10,5,40745,614,41359,4545,8.69,0,,
baseline,miss_func,multi_turn_miss_func_120,False,,,,,5,TradingBot,12,7,35496,755,36251,3607,10.46,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 3
baseline,miss_func,multi_turn_miss_func_122,False,,,,,6,TradingBot,12,6,38227,1097,39324,3972,15.08,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
baseline,miss_func,multi_turn_miss_func_127,True,,,,,5,TradingBot,10,5,30641,950,31591,3684,12.39,0,,
baseline,miss_func,multi_turn_miss_func_139,False,,,,,3,TwitterAPI|TradingBot,5,2,21060,155,21215,4395,3.07,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,miss_func,multi_turn_miss_func_140,False,,,,,5,TradingBot|TicketAPI,14,9,61129,1025,62154,5201,14.1,0,multi_turn:instance_state_mismatch,Model instance for TicketAPI does not match the state with ground truth instance.
baseline,miss_func,multi_turn_miss_func_144,False,,,,,4,TradingBot|MathAPI,7,3,32698,644,33342,5100,8.45,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,miss_func,multi_turn_miss_func_145,False,,,,,6,MessageAPI|TradingBot,14,8,58462,1208,59670,5134,16.09,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 2.
baseline,miss_func,multi_turn_miss_func_152,False,,,,,4,TicketAPI|TravelAPI,7,4,31268,765,32033,5009,9.41,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,miss_func,multi_turn_miss_func_153,True,,,,,6,TravelAPI,12,6,46741,1402,48143,4789,17.49,0,,
baseline,miss_func,multi_turn_miss_func_154,True,,,,,6,MessageAPI|TravelAPI,12,6,55674,1264,56938,5462,15.98,0,,
baseline,miss_func,multi_turn_miss_func_161,True,,,,,4,MathAPI|TravelAPI,7,3,37445,739,38184,5803,9.61,0,,
baseline,miss_func,multi_turn_miss_func_164,False,,,,,5,TravelAPI,9,4,29619,951,30570,4106,12.29,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 0.
baseline,miss_func,multi_turn_miss_func_165,True,,,,,6,TicketAPI|TravelAPI,14,8,67881,1316,69197,5840,16.77,0,,
baseline,miss_func,multi_turn_miss_func_169,False,,,,,3,MessageAPI|TravelAPI,7,4,29953,787,30740,4851,9.73,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,miss_func,multi_turn_miss_func_17,False,,,,,4,MessageAPI|GorillaFileSystem,13,9,56514,811,57325,4904,10.13,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,miss_func,multi_turn_miss_func_170,False,,,,,7,TwitterAPI|TravelAPI,17,10,94463,1462,95925,6651,17.81,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,miss_func,multi_turn_miss_func_180,False,,,,,7,TicketAPI|TravelAPI,20,13,117822,3133,120955,7898,32.14,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
baseline,miss_func,multi_turn_miss_func_186,False,,,,,7,TwitterAPI|TravelAPI,15,8,84280,1542,85822,6673,17.7,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 0.
baseline,miss_func,multi_turn_miss_func_190,False,,,,,6,TicketAPI|TravelAPI,19,13,101255,2012,103267,6858,22.52,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 3
baseline,miss_func,multi_turn_miss_func_194,True,,,,,7,TravelAPI,14,7,54507,1559,56066,5002,16.67,0,,
baseline,miss_func,multi_turn_miss_func_197,False,,,,,4,MessageAPI|TravelAPI,12,8,57013,1673,58686,5905,19.73,0,multi_turn:instance_state_mismatch,Model instance for TravelAPI does not match the state with ground truth instance.
baseline,miss_func,multi_turn_miss_func_2,False,,,,,6,TicketAPI|GorillaFileSystem,26,20,121555,1209,122764,5863,19.26,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 4
baseline,miss_func,multi_turn_miss_func_20,False,,,,,3,TwitterAPI|GorillaFileSystem,29,26,167561,2366,169927,7522,32.77,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,miss_func,multi_turn_miss_func_22,False,,,,,5,TwitterAPI|GorillaFileSystem,13,8,63371,843,64214,5592,11.9,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 4
baseline,miss_func,multi_turn_miss_func_3,False,,,,,3,GorillaFileSystem,15,12,47981,685,48666,3856,11.19,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,miss_func,multi_turn_miss_func_32,False,,,,,3,GorillaFileSystem|MathAPI,7,4,34698,557,35255,5385,7.78,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
baseline,miss_func,multi_turn_miss_func_33,False,,,,,6,MessageAPI|GorillaFileSystem,12,6,49842,605,50447,4714,9.52,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 4
baseline,miss_func,multi_turn_miss_func_34,False,,,,,3,GorillaFileSystem|MathAPI,17,14,90252,1018,91270,6130,15.55,0,multi_turn:instance_state_mismatch,Model instance for GorillaFileSystem does not match the state with ground truth instance.
baseline,miss_func,multi_turn_miss_func_37,False,,,,,4,GorillaFileSystem,12,8,40935,1441,42376,4495,18.11,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 0.
baseline,miss_func,multi_turn_miss_func_4,False,,,,,4,TwitterAPI|GorillaFileSystem,17,13,87600,1631,89231,6492,21.51,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
baseline,miss_func,multi_turn_miss_func_49,False,,,,,5,GorillaFileSystem|MathAPI,10,5,51427,1262,52689,6288,15.85,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 1.
baseline,miss_func,multi_turn_miss_func_55,False,,,,,6,TicketAPI|VehicleControlAPI,16,10,77100,1245,78345,5822,17.26,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,miss_func,multi_turn_miss_func_56,False,,,,,4,VehicleControlAPI,11,7,36712,786,37498,3809,11.52,0,multi_turn:execution_response_mismatch,Model response execution results so far does not contain all the ground truth response execution results for turn 1.
baseline,miss_func,multi_turn_miss_func_57,False,,,,,3,VehicleControlAPI|MathAPI,3,0,14524,239,14763,5023,3.59,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,miss_func,multi_turn_miss_func_66,False,,,,,5,VehicleControlAPI,19,14,76866,1481,78347,5028,20.25,0,multi_turn:instance_state_mismatch,Model instance for VehicleControlAPI does not match the state with ground truth instance.
baseline,miss_func,multi_turn_miss_func_68,False,,,,,6,TwitterAPI|VehicleControlAPI,15,9,76377,890,77267,5867,13.51,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
baseline,miss_func,multi_turn_miss_func_77,True,,,,,4,TwitterAPI|VehicleControlAPI,10,6,49805,822,50627,5503,11.25,0,,
baseline,miss_func,multi_turn_miss_func_82,False,,,,,4,VehicleControlAPI,15,11,54767,1018,55785,4329,14.22,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 1.
baseline,miss_func,multi_turn_miss_func_90,False,,,,,5,TwitterAPI|VehicleControlAPI,19,14,101118,1397,102515,6380,20.72,0,multi_turn:instance_state_mismatch,Model instance for VehicleControlAPI does not match the state with ground truth instance.
baseline,miss_func,multi_turn_miss_func_91,False,,,,,3,MessageAPI|VehicleControlAPI,9,6,36815,533,37348,4501,7.93,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 0.
baseline,miss_func,multi_turn_miss_func_92,False,,,,,6,VehicleControlAPI,16,10,56364,1068,57432,4351,14.84,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 5
baseline,miss_func,multi_turn_miss_func_94,False,,,,,4,VehicleControlAPI,16,12,57703,1009,58712,4355,15.09,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
baseline,miss_func,multi_turn_miss_func_97,False,,,,,7,MessageAPI|VehicleControlAPI,21,14,98586,1438,100024,5821,21.55,0,multi_turn:instance_state_mismatch,Model instance for MessageAPI does not match the state with ground truth instance.
baseline,miss_func,multi_turn_miss_func_98,False,,,,,4,VehicleControlAPI|MathAPI,23,19,132179,1695,133874,7036,24.58,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 1.
baseline,miss_param,multi_turn_miss_param_1,False,,,,,5,GorillaFileSystem,15,10,50282,675,50957,3879,9.8,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 3.
baseline,miss_param,multi_turn_miss_param_103,True,,,,,6,MessageAPI|TradingBot,14,8,55152,752,55904,4639,9.61,0,,
baseline,miss_param,multi_turn_miss_param_111,True,,,,,5,MessageAPI|TradingBot,12,7,46377,652,47029,4464,8.4,0,,
baseline,miss_param,multi_turn_miss_param_115,False,,,,,5,TradingBot,12,7,35899,687,36586,3496,9.54,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 3
baseline,miss_param,multi_turn_miss_param_117,False,,,,,7,TradingBot,7,0,19441,311,19752,2990,3.86,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 1
baseline,miss_param,multi_turn_miss_param_119,False,,,,,5,TradingBot|TicketAPI,10,5,40573,534,41107,4439,7.1,0,multi_turn:instance_state_mismatch,Model instance for TicketAPI does not match the state with ground truth instance.
baseline,miss_param,multi_turn_miss_param_120,True,,,,,5,TradingBot,11,6,32771,737,33508,3534,8.83,0,,
baseline,miss_param,multi_turn_miss_param_122,False,,,,,6,TradingBot,12,6,37498,807,38305,3713,9.67,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
baseline,miss_param,multi_turn_miss_param_127,True,,,,,5,TradingBot,10,5,29733,811,30544,3520,9.79,0,,
baseline,miss_param,multi_turn_miss_param_139,False,,,,,3,TwitterAPI|TradingBot,8,5,34959,306,35265,4576,4.58,0,multi_turn:irrelevance_error:decoder_success,Model outputs valid function calls when it should not for turn 1.
baseline,miss_param,multi_turn_miss_param_140,False,,,,,5,TradingBot|TicketAPI,10,5,40572,579,41151,4548,7.61,0,multi_turn:instance_state_mismatch,Model instance for TicketAPI does not match the state with ground truth instance.
baseline,miss_param,multi_turn_miss_param_144,False,,,,,4,TradingBot|MathAPI,8,4,37622,709,38331,5123,8.69,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 3
baseline,miss_param,multi_turn_miss_param_145,False,,,,,6,MessageAPI|TradingBot,13,7,51989,775,52764,4591,10.23,0,multi_turn:instance_state_mismatch,Model instance for MessageAPI does not match the state with ground truth instance.
baseline,miss_param,multi_turn_miss_param_152,False,,,,,4,TicketAPI|TravelAPI,8,4,37778,901,38679,5211,10.44,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 2
baseline,miss_param,multi_turn_miss_param_153,False,,,,,6,TravelAPI,10,4,35635,711,36346,4054,9.1,0,multi_turn:empty_turn_model_response,Model response list is empty for turn 4
baseline,miss_param,multi_turn_miss_param_154,True,,,,,6,MessageAPI|TravelAPI,12,6,54297,1037,55334,5218,12.62,0,,
